team_name,avg_overall,max_overall,squad_size,avg_potential,avg_age,avg_pace,avg_shooting,avg_passing,avg_dribbling,avg_defending,avg_physic
Algeria,72.85,84.0,48,75.73,26.9,70.29,2.9,68.25,3.23,54.44,
Argentina,70.76,88.0,720,73.48,27.97,69.81,2.9,62.28,2.58,55.98,
Australia,68.51,78.0,70,71.07,27.66,70.06,3.1,60.68,2.5,55.48,
Austria,70.5,82.0,125,73.08,27.3,67.23,3.14,62.22,2.43,59.41,
Belgium,72.11,89.0,189,76.75,25.56,68.74,3.26,65.22,2.55,57.54,
Brazil,72.42,89.0,584,74.2,27.69,71.52,2.97,63.81,2.59,54.83,
Cabo Verde,69.58,77.0,19,72.89,26.63,72.33,2.95,60.72,2.58,49.94,
Canada,71.24,84.0,37,73.81,27.11,73.82,3.16,62.94,2.51,56.09,
Chile,69.56,77.0,98,71.6,29.09,68.37,3.0,61.79,2.57,54.17,
Colombia,70.67,85.0,158,73.7,27.58,72.7,2.9,61.06,2.58,54.47,
Costa Rica,68.09,71.0,11,72.91,25.82,71.89,3.0,57.56,2.55,49.78,
Croatia,71.44,84.0,121,74.83,26.55,67.37,3.19,62.24,2.48,57.25,
Côte d'Ivoire,71.83,81.0,87,76.07,25.34,73.71,2.97,61.69,2.66,54.61,
Denmark,70.48,83.0,220,74.15,26.45,67.74,3.07,62.96,2.48,56.83,
Ecuador,69.79,87.0,80,72.5,27.54,74.8,2.91,61.24,2.71,54.43,
Egypt,76.57,91.0,7,77.43,30.0,64.86,3.14,63.43,2.71,51.71,
England,71.22,90.0,565,74.64,26.46,69.05,3.09,64.1,2.55,59.7,
France,71.97,91.0,521,75.64,26.11,69.23,2.95,64.36,2.62,58.38,
Germany,70.7,89.0,588,73.74,26.84,69.75,3.18,61.96,2.41,56.99,
Ghana,71.14,83.0,74,74.51,26.35,75.38,3.05,61.48,2.82,52.54,
Hungary,70.98,85.0,41,74.76,26.61,70.25,3.1,62.42,2.37,58.36,
Italy,70.94,89.0,423,73.9,26.98,67.94,3.05,62.34,2.43,58.78,
Jamaica,69.85,79.0,20,70.95,29.25,73.32,3.0,61.21,2.7,55.84,
Japan,71.97,82.0,71,75.17,26.32,74.13,3.27,64.15,2.66,56.37,
Jordan,75.0,75.0,2,75.0,28.5,84.0,4.0,56.5,2.5,55.5,
Korea Republic,69.16,85.0,115,71.41,28.15,72.48,3.37,60.63,2.59,53.49,
Mexico,74.45,80.0,31,78.03,25.74,75.26,2.9,67.04,2.58,59.15,
Morocco,72.64,89.0,92,76.7,26.09,71.17,3.17,66.45,3.09,50.9,
Netherlands,72.0,90.0,271,75.99,26.15,68.81,3.14,64.68,2.54,60.42,
New Zealand,69.41,82.0,17,73.06,26.94,66.19,3.18,62.75,2.47,58.75,
Panama,69.3,76.0,10,72.5,27.9,69.25,2.7,62.25,2.2,52.62,
Paraguay,69.88,79.0,90,71.57,28.76,67.94,2.83,60.08,2.6,53.19,
Poland,69.84,88.0,142,72.86,27.06,69.93,2.8,61.82,2.29,56.83,
Portugal,72.17,89.0,267,75.75,26.4,71.08,2.97,65.0,2.7,58.15,
Qatar,70.37,78.0,19,71.21,30.32,70.72,3.26,62.17,2.47,54.83,
Saudi Arabia,68.8,82.0,50,70.96,28.28,73.35,3.1,60.55,2.6,55.92,
Senegal,71.56,83.0,87,75.39,26.23,73.51,2.94,60.71,2.52,52.85,
South Africa,69.5,73.0,8,72.75,25.25,77.38,2.75,58.75,2.88,56.12,
Spain,72.27,90.0,719,75.71,26.82,69.09,3.13,65.43,2.62,57.52,
Sweden,70.26,88.0,167,73.24,27.32,70.01,2.93,62.73,2.52,54.95,
Switzerland,71.42,87.0,119,74.29,27.13,70.31,3.15,63.38,2.5,57.88,
Tunisia,70.5,80.0,20,73.9,26.1,70.95,3.1,64.05,3.0,55.1,
Ukraine,71.84,83.0,69,75.25,25.9,71.55,2.97,64.98,2.41,58.56,
Uruguay,70.76,89.0,179,73.73,27.72,69.23,2.84,61.34,2.51,56.28,
Uzbekistan,73.0,77.0,3,77.0,25.67,75.67,3.33,57.0,2.33,62.0,
